,0
18,7
19,6
20,8
21,4
22,6
23,5
0,4
1,4
2,4
3,5
4,5
5,2
6,0
7,0
8,0
9,0
10,2
11,4
12,11
13,5
14,3
15,5
16,0
17,0
18,5
19,6
20,11
21,5
22,2
23,5
0,4
1,5
2,3
3,4
4,4
5,3
6,0
7,0
8,0
9,0
10,7
11,8
12,7
13,6
14,5
15,5
16,0
17,0
18,4
19,5
20,9
21,3
22,3
23,3
0,2
1,4
2,4
3,5
4,3
5,3
6,0
7,0
8,0
9,0
10,6
11,7
12,4
13,4
14,4
15,6
16,0
17,0
18,6
19,12
20,8
21,2
22,6
23,4
0,5
1,4
2,4
3,4
4,3
5,3
6,0
7,0
8,0
9,0
10,7
11,5
12,5
13,3
14,3
15,4
16,0
17,0
18,6
19,8
20,10
21,4
22,5
23,5
0,3
1,5
2,5
3,5
4,4
5,5
6,0
7,0
8,0
9,0
10,6
11,6
12,5
13,3
14,2
15,3
16,0
17,0
18,6
19,7
20,12
21,4
22,3
23,2
0,1
1,2
2,5
3,3
4,4
5,0
6,0
7,0
8,0
9,0
10,4
11,6
12,5
13,5
14,5
15,5
16,0
17,0
18,6
19,10
20,9
21,4
22,4
23,3
0,3
1,2
2,3
3,3
4,2
5,2
6,0
7,0
8,0
9,0
10,9
11,6
12,5
13,4
14,2
15,4
16,0
17,0
18,4
19,7
20,10
21,3
22,4
23,5
0,1
1,4
2,2
3,3
4,3
5,4
6,0
7,0
8,0
9,0
10,5
11,6
12,3
13,6
14,3
15,5
16,0
17,0
18,4
19,6
20,13
21,4
22,5
23,1
0,3
1,4
2,5
3,2
4,3
5,4
6,0
7,0
8,0
9,0
10,8
11,8
12,7
13,1
14,5
15,6
16,0
17,0
18,5
19,9
20,15
21,2
22,1
23,5
0,2
1,2
2,3
3,2
4,4
5,3
6,0
7,0
8,0
9,0
10,4
11,7
12,4
13,1
14,2
15,0
16,0
17,0
18,7
19,9
20,9
21,3
22,3
23,2
0,2
1,4
2,3
3,4
4,4
5,6
6,0
7,0
8,0
9,0
10,5
11,8
12,6
13,3
14,4
15,2
16,0
17,0
18,6
19,7
20,9
21,2
22,3
23,4
0,3
1,5
2,5
3,4
4,1
5,3
6,0
7,0
8,0
9,0
10,7
11,9
12,7
13,6
14,4
15,5
16,0
17,0
18,6
19,9
20,11
21,2
22,4
23,3
0,4
1,2
2,4
3,3
4,3
5,3
6,0
7,0
8,0
9,0
10,6
11,6
12,5
13,2
14,3
15,4
16,0
17,0
18,7
19,8
20,9
21,4
22,1
23,4
0,3
1,2
2,5
3,3
4,5
5,4
6,0
7,0
8,0
9,0
10,6
11,5
12,5
13,5
14,3
15,6
16,0
17,0
18,1
19,8
20,11
21,3
22,3
23,4
0,1
1,4
2,1
3,3
4,1
5,3
6,0
7,0
8,0
9,0
10,6
11,0
12,6
13,3
14,4
15,3
16,0
17,0
18,12
19,8
20,9
21,4
22,2
23,4
0,4
1,5
2,2
3,3
4,2
5,2
6,0
7,0
8,0
9,0
10,5
11,7
12,7
13,4
14,4
15,5
16,0
17,0
18,6
19,10
20,12
21,0
22,2
23,3
0,4
1,4
2,2
3,0
4,3
5,1
6,0
7,0
8,0
9,0
10,9
11,7
12,8
13,2
14,4
15,3
16,0
17,0
18,5
19,10
20,10
21,3
22,5
23,4
0,2
1,1
2,1
3,2
4,2
5,4
6,0
7,0
8,0
9,0
10,6
11,7
12,6
13,4
14,3
15,4
16,0
17,0
18,9
19,9
20,11
21,1
22,4
23,3
0,6
1,5
2,2
3,2
4,3
5,5
6,0
7,0
8,0
9,0
10,7
11,5
12,7
13,3
14,3
15,4
16,0
17,0
18,7
19,8
20,12
21,3
22,8
23,6
0,5
1,3
2,4
3,4
4,3
5,4
6,0
7,0
8,0
9,0
10,9
11,9
12,7
13,2
14,5
15,3
16,0
17,0
18,7
19,8
20,14
21,2
22,5
23,3
0,5
1,0
2,4
3,4
4,5
5,2
6,0
7,0
8,0
9,0
10,7
11,5
12,6
13,4
14,8
15,5
16,0
17,0
18,5
19,6
20,11
21,2
22,1
23,4
0,3
1,6
2,2
3,2
4,5
5,3
6,0
7,0
8,0
9,0
10,7
11,6
12,3
13,3
14,3
15,2
16,0
17,0
18,8
19,9
20,8
21,4
22,2
23,5
0,3
1,1
2,3
3,1
4,3
5,4
6,0
7,0
8,0
9,0
10,4
11,4
12,5
13,3
14,5
15,5
16,0
17,0
18,6
19,7
20,9
21,4
22,4
23,3
0,4
1,3
2,1
3,1
4,6
5,3
6,0
7,0
8,0
9,0
10,5
11,9
12,7
13,0
14,3
15,5
16,0
17,0
18,6
19,7
20,13
21,1
22,4
23,6
0,5
1,3
2,3
3,3
4,3
5,3
6,0
7,0
8,0
9,0
10,5
11,7
12,8
13,7
14,4
15,1
16,0
17,0
18,3
19,7
20,11
21,2
22,2
23,3
0,2
1,1
2,3
3,2
4,2
5,2
6,0
7,0
8,0
9,0
10,5
11,6
12,3
13,2
14,3
15,3
16,0
17,0
18,8
19,7
20,13
21,5
22,1
23,2
0,4
1,4
2,1
3,3
4,5
5,0
6,0
7,0
8,0
9,0
10,9
11,7
12,5
13,7
14,4
15,4
16,0
17,0
18,5
19,8
20,9
21,3
22,6
23,1
0,3
1,0
2,3
3,4
4,1
5,5
6,0
7,0
8,0
9,0
10,7
11,8
12,8
13,4
14,4
15,5
16,0
17,0
18,4
19,4
20,9
21,3
22,0
23,3
0,5
1,2
2,2
3,6
4,5
5,2
6,0
7,0
8,0
9,0
10,6
11,8
12,4
13,4
14,4
15,4
16,0
17,0
18,8
19,5
20,13
21,2
22,5
23,2
0,4
1,2
2,4
3,6
4,3
5,3
6,0
7,0
8,0
9,0
10,7
11,2
12,5
13,5
14,5
15,5
16,0
17,0
18,7
19,4
20,11
21,5
22,2
23,4
0,3
1,3
2,2
3,1
4,2
5,5
6,0
7,0
8,0
9,0
10,5
11,5
12,5
13,2
14,6
15,9
16,0
17,0
18,6
19,6
20,11
21,2
22,6
23,4
0,4
1,3
2,2
3,3
4,1
5,4
6,0
7,0
8,0
9,0
10,6
11,4
12,5
13,3
14,2
15,5
16,0
17,0
18,7
19,10
20,10
21,4
22,5
23,3
0,4
1,5
2,3
3,3
4,4
5,4
6,0
7,0
8,0
9,0
10,5
11,6
12,9
13,4
14,4
15,2
16,0
17,0
18,7
19,7
20,10
21,4
22,3
23,1
0,1
1,5
2,2
3,2
4,1
5,6
6,0
7,0
8,0
9,0
10,7
11,8
12,4
13,0
14,2
15,4
16,0
17,0
18,5
19,7
20,10
21,1
22,5
23,4
0,1
1,6
2,6
3,4
4,1
5,1
6,0
7,0
8,0
9,0
10,8
11,9
12,6
13,5
14,3
15,3
16,0
17,0
18,11
19,8
20,11
21,4
22,2
23,3
0,4
1,4
2,5
3,3
4,2
5,3
6,0
7,0
8,0
9,0
10,7
11,6
12,6
13,4
14,4
15,6
16,0
17,0
18,3
19,5
20,10
21,3
22,4
23,0
0,5
1,4
2,4
3,1
4,3
5,2
6,0
7,0
8,0
9,0
10,5
11,4
12,9
13,3
14,0
15,5
16,0
17,0
18,3
19,3
20,11
21,4
22,6
23,2
0,5
1,5
2,5
3,5
4,3
5,5
6,0
7,0
8,0
9,0
10,6
11,6
12,3
13,5
14,2
15,2
16,0
17,0
18,4
19,8
20,14
21,1
22,3
23,3
0,4
1,4
2,4
3,3
4,2
5,3
6,0
7,0
8,0
9,0
10,8
11,3
12,5
13,5
14,2
15,3
16,0
17,0
18,8
19,8
20,10
21,1
22,1
23,4
0,3
1,3
2,1
3,1
4,3
5,0
6,0
7,0
8,0
9,0
10,5
11,8
12,7
13,8
14,4
15,3
16,0
17,0
18,6
19,10
20,13
21,4
22,3
23,3
0,1
1,3
2,4
3,3
4,3
5,3
6,0
7,0
8,0
9,0
10,8
11,9
12,7
13,5
14,3
15,5
16,0
17,0
18,5
19,5
20,12
21,4
22,6
23,0
0,4
1,4
2,5
3,0
4,1
5,3
6,0
7,0
8,0
9,0
10,4
11,6
12,4
13,5
14,7
15,3
16,0
17,0
18,9
19,7
20,14
21,4
22,0
23,4
0,3
1,1
2,2
3,2
4,2
5,1
6,0
7,0
8,0
9,0
10,7
11,7
12,4
13,6
14,2
15,3
16,0
17,0
18,12
19,8
20,12
21,3
22,2
23,2
0,1
1,3
2,3
3,1
4,1
5,4
6,0
7,0
8,0
9,0
10,7
11,6
12,7
13,6
14,3
15,2
16,0
17,0
18,2
19,10
20,12
21,3
22,2
23,2
0,5
1,2
2,4
3,2
4,2
5,2
6,0
7,0
8,0
9,0
10,7
11,6
12,8
13,5
14,6
15,2
16,0
17,0
18,5
19,7
20,9
21,6
22,4
23,5
0,2
1,2
2,6
3,2
4,2
5,5
6,0
7,0
8,0
9,0
10,10
11,6
12,7
13,1
14,5
15,3
16,0
17,0
18,5
19,7
20,11
21,5
22,1
23,2
0,3
1,2
2,1
3,1
4,2
5,1
6,0
7,0
8,0
9,0
10,8
11,8
12,7
13,5
14,4
15,4
16,0
17,0
18,5
19,4
20,10
21,5
22,3
23,6
0,3
1,5
2,3
3,5
4,2
5,3
6,0
7,0
8,0
9,0
10,6
11,7
12,8
13,1
14,3
15,3
16,0
17,0
18,8
19,9
20,8
21,0
22,3
23,1
0,0
1,3
2,2
3,3
4,2
5,3
6,0
7,0
8,0
9,0
10,5
11,7
12,6
13,3
14,2
15,1
16,0
17,0
18,5
19,9
20,10
21,5
22,2
23,6
0,4
1,3
2,2
3,4
4,3
5,2
6,0
7,0
8,0
9,0
10,7
11,8
12,4
13,3
14,5
15,2
16,0
17,0
18,7
19,3
20,8
21,3
22,5
23,4
0,0
1,0
2,5
3,4
4,2
5,7
6,0
7,0
8,0
9,0
10,7
11,8
12,6
13,5
14,6
15,4
16,0
17,0
18,6
19,7
20,10
21,2
22,4
23,5
0,3
1,3
2,2
3,2
4,2
5,3
6,0
7,0
8,0
9,0
10,2
11,3
12,8
13,7
14,4
15,3
16,0
17,0
18,9
19,8
20,11
21,2
22,4
23,2
0,2
1,4
2,1
3,5
4,4
5,3
6,0
7,0
8,0
9,0
10,8
11,6
12,7
13,5
14,2
15,4
16,0
17,0
18,3
19,7
20,9
21,3
22,4
23,4
0,2
1,2
2,3
3,5
4,2
5,6
6,0
7,0
8,0
9,0
10,5
11,5
12,4
13,5
14,2
15,5
16,0
17,0
18,5
19,9
20,10
21,1
22,3
23,4
0,2
1,1
2,2
3,3
4,2
5,1
6,0
7,0
8,0
9,0
10,8
11,5
12,10
13,4
14,7
15,4
16,0
17,0
18,7
19,9
20,12
21,4
22,4
23,2
0,3
1,2
2,5
3,2
4,7
5,1
6,0
7,0
8,0
9,0
10,4
11,5
12,5
13,5
14,6
15,4
16,0
17,0
18,4
19,8
20,11
21,1
22,4
23,3
0,2
1,4
2,4
3,3
4,6
5,2
6,0
7,0
8,0
9,0
10,6
11,7
12,8
13,0
14,1
15,0
16,0
17,0
18,8
19,7
20,12
21,3
22,0
23,2
0,2
1,4
2,2
3,1
4,1
5,3
6,0
7,0
8,0
9,0
10,5
11,8
12,5
13,6
14,2
15,4
16,0
17,0
18,5
19,10
20,14
21,3
22,1
23,4
0,5
1,2
2,2
3,3
4,1
5,2
6,0
7,0
8,0
9,0
10,9
11,6
12,6
13,6
14,2
15,3
16,0
17,0
18,3
19,5
20,12
21,2
22,6
23,2
0,1
1,3
2,3
3,7
4,2
5,3
6,0
7,0
8,0
9,0
10,6
11,9
12,13
13,5
14,5
15,4
16,0
17,0
18,6
19,7
20,11
21,6
22,0
23,2
0,5
1,3
2,5
3,3
4,3
5,0
6,0
7,0
8,0
9,0
10,6
11,9
12,6
13,3
14,2
15,7
16,0
17,0
18,4
19,9
20,12
21,4
22,5
23,1
0,5
1,3
2,4
3,5
4,3
5,7
6,0
7,0
8,0
9,0
10,7
11,12
12,7
13,5
14,2
15,4
16,0
17,0
18,6
19,8
20,13
21,4
22,1
23,4
0,3
1,1
2,2
3,1
4,3
5,2
6,0
7,0
8,0
9,0
10,9
11,8
12,7
13,4
14,4
15,2
16,0
17,0
18,5
19,4
20,12
21,3
22,3
23,2
0,2
1,1
2,4
3,4
4,3
5,6
6,0
7,0
8,0
9,0
10,7
11,3
12,7
13,6
14,4
15,3
16,0
17,0
18,4
19,7
20,13
21,0
22,1
23,3
0,3
1,2
2,1
3,3
4,4
5,1
6,0
7,0
8,0
9,0
10,7
11,4
12,8
13,6
14,4
15,1
16,0
17,0
18,6
19,9
20,14
21,1
22,2
23,6
0,3
1,2
2,2
3,4
4,2
5,1
6,0
7,0
8,0
9,0
10,5
11,4
12,5
13,7
14,3
15,3
16,0
17,0
18,6
19,9
20,8
21,1
22,2
23,3
0,4
1,3
2,3
3,1
4,2
5,1
6,0
7,0
8,0
9,0
10,8
11,6
12,6
13,3
14,7
15,5
16,0
17,0
18,6
19,12
20,11
21,2
22,3
23,4
0,1
1,3
2,2
3,4
4,5
5,3
6,0
7,0
8,0
9,0
10,5
11,6
12,4
13,4
14,6
15,4
16,0
17,0
18,8
19,8
20,9
21,1
22,5
23,3
0,2
1,2
2,0
3,4
4,2
5,6
6,0
7,0
8,0
9,0
10,7
11,8
12,5
13,1
14,4
15,4
16,0
17,0
18,6
19,10
20,11
21,0
22,3
23,5
0,1
1,2
2,2
3,0
4,2
5,6
6,0
7,0
8,0
9,0
10,8
11,3
12,6
13,1
14,4
15,5
16,0
17,0
18,8
19,9
20,13
21,4
22,3
23,3
0,2
1,3
2,4
3,2
4,2
5,2
6,0
7,0
8,0
9,0
10,6
11,4
12,8
13,8
14,6
15,5
16,0
17,0
18,7
19,5
20,10
21,2
22,1
23,0
0,1
1,2
2,1
3,4
4,2
5,1
6,0
7,0
8,0
9,0
10,6
11,4
12,6
13,8
14,3
15,4
16,0
17,0
18,5
19,10
20,10
21,1
22,2
23,3
0,1
1,1
2,3
3,3
4,2
5,4
6,0
7,0
8,0
9,0
10,8
11,9
12,5
13,3
14,6
15,5
16,0
17,0
18,8
19,5
20,10
21,2
22,1
23,2
0,1
1,4
2,4
3,4
4,3
5,2
6,0
7,0
8,0
9,0
10,5
11,4
12,4
13,4
14,1
15,7
16,0
17,0
18,8
19,6
20,9
21,2
22,2
23,5
0,3
1,2
2,4
3,3
4,2
5,4
6,0
7,0
8,0
9,0
10,6
11,7
12,4
13,4
14,6
15,6
16,0
17,0
18,5
19,7
20,13
21,2
22,2
23,3
0,5
1,2
2,3
3,1
4,5
5,1
6,0
7,0
8,0
9,0
10,7
11,8
12,8
13,5
14,1
15,3
16,0
17,0
18,7
19,9
20,9
21,5
22,2
23,3
0,6
1,0
2,3
3,3
4,2
5,3
6,0
7,0
8,0
9,0
10,8
11,9
12,6
13,6
14,7
15,3
16,0
17,0
18,7
19,9
20,12
21,1
22,0
23,1
0,2
1,0
2,2
3,2
4,2
5,3
6,0
7,0
8,0
9,0
10,3
11,6
12,5
13,3
14,3
15,4
16,0
17,0
18,8
19,7
20,12
21,4
22,0
23,3
0,3
1,1
2,4
3,4
4,3
5,0
6,0
7,0
8,0
9,0
10,7
11,5
12,6
13,3
14,5
15,3
16,0
17,0
18,7
19,3
20,12
21,2
22,0
23,3
0,2
1,4
2,4
3,1
4,1
5,0
6,0
7,0
8,0
9,0
10,6
11,6
12,6
13,3
14,6
15,3
16,0
17,0
18,7
19,10
20,11
21,2
22,1
23,0
0,1
1,1
2,3
3,2
4,2
5,2
6,0
7,0
8,0
9,0
10,7
11,7
12,6
13,3
14,6
15,4
16,0
17,0
18,7
19,9
20,11
21,3
22,4
23,5
0,1
1,2
2,1
3,2
4,3
5,3
6,0
7,0
8,0
9,0
10,10
11,11
12,3
13,3
14,4
15,4
16,0
17,0
18,6
19,9
20,13
21,1
22,3
23,2
0,3
1,0
2,2
3,2
4,2
5,2
6,0
7,0
8,0
9,0
10,6
11,2
12,7
13,3
14,4
15,2
16,0
17,0
18,3
19,9
20,12
21,2
22,4
23,1
0,3
1,2
2,4
3,2
4,2
5,2
6,0
7,0
8,0
9,0
10,6
11,5
12,10
13,3
14,4
15,3
16,0
17,0
18,4
19,6
20,10
21,1
22,5
23,0
0,1
1,3
2,0
3,3
4,5
5,2
6,0
7,0
8,0
9,0
10,4
11,6
12,9
13,3
14,1
15,6
16,0
17,0
18,2
19,9
20,9
21,2
22,2
23,2
0,5
1,1
2,2
3,4
4,0
5,3
6,0
7,0
8,0
9,0
10,5
11,6
12,6
13,1
14,4
15,5
16,0
17,0
18,5
19,9
20,10
21,2
22,0
23,3
0,1
1,3
2,2
3,2
4,2
5,2
6,0
7,0
8,0
9,0
10,5
11,5
12,8
13,3
14,4
15,1
16,0
17,0
18,6
19,7
20,12
21,1
22,2
23,5
0,0
1,2
2,1
3,1
4,2
5,3
6,0
7,0
8,0
9,0
10,8
11,7
12,8
13,5
14,6
15,3
16,0
17,0
18,3
19,8
20,10
21,3
22,2
23,2
0,3
1,1
2,3
3,4
4,2
5,1
6,0
7,0
8,0
9,0
10,6
11,6
12,7
13,1
14,3
15,5
16,0
17,0
18,4
19,5
20,13
21,2
22,3
23,2
0,3
1,2
2,1
3,2
4,2
5,3
6,0
7,0
8,0
9,0
10,9
11,6
12,6
13,2
14,6
15,2
16,0
17,0
18,6
19,6
20,11
21,1
22,3
23,1
0,1
1,1
2,1
3,3
4,3
5,1
6,0
7,0
8,0
9,0
10,8
11,7
12,5
13,4
14,4
15,3
16,0
17,0
18,4
19,7
20,10
21,2
22,3
23,1
0,1
1,2
2,2
3,4
4,4
5,4
6,0
7,0
8,0
9,0
10,6
11,6
12,5
13,3
14,9
15,1
16,0
17,0
18,2
19,8
20,13
21,4
22,3
23,1
0,1
1,3
2,3
3,0
4,3
5,2
6,0
7,0
8,0
9,0
10,6
11,5
12,6
13,2
14,3
15,5
16,0
17,0
18,3
19,6
20,13
21,4
22,3
23,4
0,2
1,4
2,2
3,2
4,2
5,1
6,0
7,0
8,0
9,0
10,8
11,8
12,6
13,2
14,2
15,1
16,0
17,0
18,4
19,10
20,9
21,1
22,2
23,4
0,5
1,4
2,1
3,0
4,2
5,2
6,0
7,0
8,0
9,0
10,4
11,7
12,8
13,4
14,7
15,4
16,0
17,0
18,5
19,10
20,9
21,3
22,2
23,1
0,3
1,1
2,2
3,3
4,2
5,1
6,0
7,0
8,0
9,0
10,8
11,5
12,7
13,3
14,3
15,3
16,0
17,0
18,2
19,10
20,12
21,2
22,7
23,3
0,2
1,2
2,0
3,0
4,2
5,3
6,0
7,0
8,0
9,0
10,9
11,5
12,7
13,6
14,4
15,2
16,0
17,0
18,2
19,6
20,13
21,1
22,1
23,2
0,2
1,0
2,3
3,2
4,1
5,5
6,0
7,0
8,0
9,0
10,8
11,3
12,4
13,5
14,2
15,8
16,0
17,0
18,3
19,9
20,10
21,3
22,0
23,4
0,1
1,0
2,2
3,1
4,3
5,6
6,0
7,0
8,0
9,0
10,7
11,9
12,6
13,6
14,2
15,4
16,0
17,0
18,2
19,8
20,13
21,2
22,4
23,2
0,4
1,2
2,2
3,4
4,2
5,3
6,0
7,0
8,0
9,0
10,10
11,4
12,10
13,2
14,4
15,3
16,0
17,0
18,2
19,6
20,10
21,2
22,1
23,1
0,3
1,2
2,0
3,5
4,2
5,2
6,0
7,0
8,0
9,0
10,4
11,5
12,4
13,5
14,4
15,5
16,0
17,0
18,1
19,8
20,12
21,5
22,2
23,4
0,1
1,7
2,3
3,7
4,2
5,4
6,0
7,0
8,0
9,0
10,5
11,7
12,5
13,5
14,6
15,2
16,0
17,0
18,2
19,8
20,12
21,1
22,2
23,2
0,2
1,3
2,3
3,2
4,2
5,3
6,0
7,0
8,0
9,0
10,3
11,8
12,5
13,4
14,3
15,6
16,0
17,0
18,1
19,8
20,11
21,4
22,0
23,2
0,3
1,1
2,2
3,2
4,3
5,0
6,0
7,0
8,0
9,0
10,4
11,8
12,2
13,3
14,7
15,3
16,0
17,0
18,1
19,7
20,14
21,4
22,1
23,0
0,1
1,2
2,3
3,2
4,4
5,2
6,0
7,0
8,0
9,0
10,8
11,6
12,4
13,2
14,2
15,6
16,0
17,0
18,2
19,8
20,9
21,5
22,5
23,5
0,0
1,1
2,4
3,3
4,2
5,1
6,0
7,0
8,0
9,0
10,7
11,5
12,7
13,5
14,3
15,1
16,0
17,0
18,0
19,8
20,13
21,4
22,4
23,1
0,4
1,0
2,2
3,3
4,1
5,4
6,0
7,0
8,0
9,0
10,8
11,6
12,6
13,4
14,4
15,6
16,0
17,0
18,0
19,6
20,11
21,1
22,2
23,1
0,1
1,2
2,6
3,0
4,3
5,2
6,0
7,0
8,0
9,0
10,4
11,9
12,8
13,2
14,5
15,6
16,0
17,0
18,0
19,8
20,12
21,4
22,1
23,3
0,0
1,1
2,1
3,3
4,3
5,3
6,0
7,0
8,0
9,0
10,6
11,7
12,9
13,1
14,6
15,5
16,0
17,0
18,0
19,11
20,13
21,4
22,2
23,2
0,3
1,0
2,1
3,5
4,2
5,3
6,0
7,0
8,0
9,0
10,5
11,4
12,4
13,1
14,3
15,3
16,0
17,0
18,1
19,6
20,11
21,0
22,5
23,2
0,3
1,3
2,2
3,2
4,4
5,1
6,0
7,0
8,0
9,0
10,5
11,6
12,10
13,3
14,1
15,3
16,0
17,0
18,0
19,7
20,12
21,4
22,5
23,3
0,4
1,2
2,6
3,1
4,2
5,2
6,0
7,0
8,0
9,0
10,6
11,5
12,7
13,6
14,6
15,6
16,0
17,0
18,0
19,7
20,12
21,3
22,1
23,2
0,4
1,2
2,0
3,1
4,1
5,2
6,0
7,0
8,0
9,0
10,10
11,10
12,8
13,3
14,4
15,4
16,0
17,0
18,0
19,8
20,9
21,3
22,3
23,2
0,3
1,5
2,2
3,2
4,2
5,2
6,0
7,0
8,0
9,0
10,5
11,8
12,7
13,3
14,1
15,2
16,0
17,0
18,0
19,5
20,12
21,2
22,2
23,1
0,2
1,1
2,1
3,4
4,3
5,3
6,0
7,0
8,0
9,0
10,8
11,6
12,7
13,4
14,4
15,2
16,0
17,0
18,0
19,5
20,11
21,2
22,1
23,1
0,1
1,2
2,1
3,2
4,2
5,3
6,0
7,0
8,0
9,0
10,5
11,7
12,5
13,4
14,7
15,2
16,0
17,0
18,0
19,7
20,12
21,1
22,3
23,1
0,0
1,4
2,3
3,4
4,0
5,3
6,0
7,0
8,0
9,0
10,9
11,11
12,10
13,3
14,1
15,5
16,0
17,0
18,0
19,6
20,14
21,1
22,1
23,1
0,2
1,4
2,1
3,1
4,4
5,2
6,0
7,0
8,0
9,0
10,6
11,6
12,4
13,3
14,5
15,6
16,0
17,0
18,0
19,9
20,12
21,1
22,4
23,3
0,2
1,1
2,2
3,2
4,3
5,2
6,0
7,0
8,0
9,0
10,8
11,7
12,3
13,4
14,3
15,6
16,0
17,0
18,0
19,5
20,13
21,4
22,5
23,1
0,2
1,1
2,2
3,3
4,4
5,5
6,0
7,0
8,0
9,0
10,6
11,4
12,6
13,1
14,3
15,5
16,0
17,0
18,0
19,12
20,12
21,1
22,2
23,0
0,2
1,2
2,4
3,2
4,3
5,4
6,0
7,0
8,0
9,0
10,4
11,4
12,5
13,0
14,3
15,5
16,0
17,0
18,0
19,4
20,9
21,1
22,4
23,1
0,1
1,3
2,0
3,2
4,3
5,2
6,0
7,0
8,0
9,0
10,8
11,5
12,7
13,9
14,3
15,5
16,0
17,0
18,0
19,8
20,9
21,4
22,2
23,3
0,1
1,2
2,5
3,3
4,4
5,1
6,0
7,0
8,0
9,0
10,7
11,4
12,8
13,4
14,7
15,1
16,0
17,0
18,0
19,8
20,11
21,0
22,3
23,3
0,5
1,2
2,2
3,1
4,5
5,0
6,0
7,0
8,0
9,0
10,8
11,3
12,5
13,4
14,3
15,2
16,0
17,0
18,0
19,6
20,13
21,1
22,1
23,2
0,3
1,3
2,1
3,2
4,1
5,3
6,0
7,0
8,0
9,0
10,4
11,5
12,6
13,5
14,4
15,4
16,0
17,0
18,0
19,9
20,12
21,3
22,1
23,2
0,2
1,7
2,6
3,1
4,1
5,2
6,0
7,0
8,0
9,0
10,5
11,6
12,7
13,7
14,3
15,5
16,0
17,0
18,0
19,11
20,14
21,1
22,4
23,1
0,1
1,2
2,1
3,2
4,0
5,2
6,0
7,0
8,0
9,0
10,7
11,7
12,6
13,5
14,2
15,6
16,0
17,0
18,0
19,7
20,13
21,2
22,1
23,0
0,1
1,3
2,2
3,3
4,2
5,2
6,0
7,0
8,0
9,0
10,3
11,4
12,6
13,4
14,5
15,2
16,0
17,0
18,0
19,11
20,14
21,1
22,2
23,2
0,0
1,2
2,5
3,1
4,2
5,3
6,0
7,0
8,0
9,0
10,6
11,7
12,7
13,3
14,4
15,1
16,0
17,0
18,0
19,6
20,12
21,1
22,4
23,1
0,3
1,2
2,4
3,1
4,1
5,4
6,0
7,0
8,0
9,0
10,6
11,9
12,7
13,6
14,5
15,4
16,0
17,0
18,0
19,5
20,11
21,1
22,1
23,0
0,3
1,1
2,3
3,2
4,3
5,0
6,0
7,0
8,0
9,0
10,8
11,8
12,4
13,2
14,5
15,3
16,0
17,0
18,0
19,10
20,11
21,1
22,1
23,2
0,3
1,0
2,3
3,1
4,4
5,1
6,0
7,0
8,0
9,0
10,7
11,6
12,6
13,4
14,2
15,4
16,0
17,0
18,0
19,7
20,11
21,0
22,0
23,3
0,1
1,2
2,2
3,4
4,3
5,2
6,0
7,0
8,0
9,0
10,5
11,6
12,8
13,6
14,5
15,6
16,0
17,0
18,0
19,8
20,12
21,3
22,5
23,2
0,4
1,1
2,5
3,3
4,1
5,1
6,0
7,0
8,0
9,0
10,7
11,5
12,1
13,2
14,3
15,6
16,0
17,0
18,0
19,6
20,12
21,3
22,4
23,2
0,1
1,0
2,4
3,5
4,0
5,1
6,0
7,0
8,0
9,0
10,5
11,8
12,7
13,2
14,2
15,0
16,0
17,0
18,0
19,4
20,11
21,3
22,2
23,4
0,2
1,4
2,2
3,3
4,1
5,1
6,0
7,0
8,0
9,0
10,6
11,7
12,5
13,5
14,6
15,3
16,0
17,0
18,0
19,6
20,14
21,5
22,5
23,3
0,1
1,1
2,5
3,5
4,4
5,3
6,0
7,0
8,0
9,0
10,5
11,8
12,9
13,6
14,3
15,5
16,0
17,0
18,0
19,9
20,11
21,0
22,2
23,4
0,2
1,2
2,3
3,1
4,1
5,3
6,0
7,0
8,0
9,0
10,4
11,10
12,4
13,7
14,4
15,3
16,0
17,0
18,0
19,6
20,12
21,1
22,2
23,3
0,2
1,2
2,4
3,1
4,0
5,2
6,0
7,0
8,0
9,0
10,7
11,2
12,6
13,4
14,2
15,3
16,0
17,0
18,0
19,8
20,12
21,2
22,3
23,1
0,0
1,0
2,1
3,2
4,1
5,2
6,0
7,0
8,0
9,0
10,8
11,4
12,10
13,4
14,5
15,2
16,0
17,0
18,0
19,8
20,13
21,1
22,1
23,1
0,5
1,2
2,3
3,3
4,0
5,4
6,0
7,0
8,0
9,0
10,4
11,11
12,6
13,2
14,4
15,2
16,0
17,0
18,0
19,7
20,13
21,2
22,2
23,1
0,1
1,1
2,3
3,2
4,5
5,1
6,0
7,0
8,0
9,0
10,8
11,3
12,6
13,5
14,3
15,4
16,0
17,0
18,0
19,5
20,13
21,0
22,0
23,0
0,1
1,1
2,1
3,2
4,1
5,2
6,0
7,0
8,0
9,0
10,7
11,4
12,7
13,3
14,4
15,5
16,0
17,0
18,0
19,7
20,11
21,3
22,1
23,1
0,1
1,2
2,3
3,4
4,0
5,0
6,0
7,0
8,0
9,0
10,5
11,5
12,6
13,2
14,4
15,1
16,0
17,0
18,0
19,9
20,11
21,2
22,1
23,3
0,2
1,3
2,2
3,2
4,5
5,2
6,0
7,0
8,0
9,0
10,6
11,4
12,4
13,5
14,6
15,1
16,0
17,0
18,0
19,8
20,9
21,2
22,4
23,4
0,2
1,2
2,2
3,1
4,3
5,1
6,0
7,0
8,0
9,0
10,3
11,6
12,5
